rank,combination,n_interior,total_knots,fitness,export_date
1,2_2_2_2_2,"[2, 2, 2, 2, 2]",16,3.3988134,2026-06-04T23:12:06.412
2,2_2_2_1_2,"[2, 2, 2, 1, 2]",15,3.41851934,2026-06-04T22:55:41.218
3,2_2_2_2_1,"[2, 2, 2, 2, 1]",15,3.4256088,2026-06-04T21:07:46.041
4,2_1_2_2_2,"[2, 1, 2, 2, 2]",15,3.44651005,2026-06-04T23:09:48.946
5,2_2_1_2_2,"[2, 2, 1, 2, 2]",15,3.46203138,2026-06-04T23:04:07.365
6,2_1_2_2_1,"[2, 1, 2, 2, 1]",14,3.47113765,2026-06-04T21:03:19.592
7,2_1_2_1_2,"[2, 1, 2, 1, 2]",14,3.47605565,2026-06-04T22:46:21.530
8,2_2_1_2_1,"[2, 2, 1, 2, 1]",14,3.47921157,2026-06-04T20:52:50.858
9,2_1_1_2_1,"[2, 1, 1, 2, 1]",13,3.4873527,2026-06-04T20:00:17.802
10,2_2_2_1_1,"[2, 2, 2, 1, 1]",14,3.49080945,2026-06-04T19:44:05.759
11,2_0_2_2_2,"[2, 0, 2, 2, 2]",14,3.49470066,2026-06-04T23:08:09.849
12,2_0_1_2_2,"[2, 0, 1, 2, 2]",13,3.49605924,2026-06-04T23:07:01.680
13,2_0_2_2_1,"[2, 0, 2, 2, 1]",13,3.51720897,2026-06-04T21:01:24.159
14,2_0_1_2_1,"[2, 0, 1, 2, 1]",12,3.5189386,2026-06-04T19:43:37.177
15,2_1_1_1_2,"[2, 1, 1, 1, 2]",13,3.53194096,2026-06-04T22:32:41.104
16,2_2_1_1_2,"[2, 2, 1, 1, 2]",14,3.53216205,2026-06-04T22:46:43.637
17,2_0_2_1_2,"[2, 0, 2, 1, 2]",13,3.53425454,2026-06-04T22:50:09.341
18,2_0_1_1_2,"[2, 0, 1, 1, 2]",12,3.54915166,2026-06-04T22:19:21.483
19,2_1_2_1_1,"[2, 1, 2, 1, 1]",13,3.55734342,2026-06-04T19:41:20.853
20,2_2_2_2_0,"[2, 2, 2, 2, 0]",14,3.60591161,2026-06-04T18:02:16.704
21,2_2_1_2_0,"[2, 2, 1, 2, 0]",13,3.6213697,2026-06-04T17:59:12.507
22,2_0_2_1_1,"[2, 0, 2, 1, 1]",12,3.62422183,2026-06-04T19:35:58.641
23,2_2_2_0_1,"[2, 2, 2, 0, 1]",13,3.63894345,2026-06-04T19:29:01.583
24,2_2_2_0_2,"[2, 2, 2, 0, 2]",14,3.64349,2026-06-04T21:30:57.176
25,2_1_2_2_0,"[2, 1, 2, 2, 0]",13,3.65003929,2026-06-04T18:02:14.949
26,2_1_1_1_1,"[2, 1, 1, 1, 1]",12,3.66339137,2026-06-04T19:37:31.528
27,2_2_1_1_1,"[2, 2, 1, 1, 1]",13,3.664857,2026-06-04T19:34:31.734
28,1_2_2_2_2,"[1, 2, 2, 2, 2]",15,3.66960726,2026-06-04T23:14:07.461
29,2_0_1_1_1,"[2, 0, 1, 1, 1]",11,3.6724493,2026-06-04T19:31:27.916
30,1_2_1_2_2,"[1, 2, 1, 2, 2]",14,3.68685429,2026-06-04T23:02:20.530
31,2_0_2_2_0,"[2, 0, 2, 2, 0]",12,3.68700238,2026-06-04T17:59:04.410
32,2_1_1_2_0,"[2, 1, 1, 2, 0]",12,3.68858237,2026-06-04T17:53:01.385
33,1_2_2_2_1,"[1, 2, 2, 2, 1]",14,3.69454728,2026-06-04T21:02:47.888
34,2_2_0_1_2,"[2, 2, 0, 1, 2]",13,3.69683358,2026-06-04T21:34:55.008
35,1_2_2_1_2,"[1, 2, 2, 1, 2]",14,3.69743771,2026-06-04T22:48:29.237
36,2_2_0_2_2,"[2, 2, 0, 2, 2]",14,3.69879106,2026-06-04T23:01:42.764
37,1_2_1_2_1,"[1, 2, 1, 2, 1]",13,3.70799992,2026-06-04T20:47:11.907
38,1_1_2_2_2,"[1, 1, 2, 2, 2]",14,3.72002619,2026-06-04T23:16:19.447
39,1_2_1_1_2,"[1, 2, 1, 1, 2]",13,3.742278,2026-06-04T22:40:26.002
40,1_1_2_1_2,"[1, 1, 2, 1, 2]",13,3.74317241,2026-06-04T22:45:26.959
41,2_2_0_2_1,"[2, 2, 0, 2, 1]",13,3.74447618,2026-06-04T19:44:47.698
42,1_1_2_2_1,"[1, 1, 2, 2, 1]",13,3.74616947,2026-06-04T21:00:42.305
43,2_0_1_2_0,"[2, 0, 1, 2, 0]",11,3.75408341,2026-06-04T17:51:24.946
44,2_2_0_1_1,"[2, 2, 0, 1, 1]",12,3.77048977,2026-06-04T19:34:53.277
45,1_2_2_1_1,"[1, 2, 2, 1, 1]",13,3.77683819,2026-06-04T19:37:17.259
46,2_1_2_0_1,"[2, 1, 2, 0, 1]",12,3.78587512,2026-06-04T19:10:02.619
47,1_1_1_2_2,"[1, 1, 1, 2, 2]",13,3.7903259,2026-06-04T23:08:53.701
48,2_1_2_0_2,"[2, 1, 2, 0, 2]",13,3.79751703,2026-06-04T21:23:23.745
49,1_1_1_2_1,"[1, 1, 1, 2, 1]",12,3.80469938,2026-06-04T19:52:47.825
50,1_2_0_2_2,"[1, 2, 0, 2, 2]",13,3.81273024,2026-06-04T22:52:31.745
51,1_2_0_1_2,"[1, 2, 0, 1, 2]",12,3.81591361,2026-06-04T21:34:24.464
52,1_1_2_1_1,"[1, 1, 2, 1, 1]",12,3.81929422,2026-06-04T19:48:59.915
53,1_2_0_2_1,"[1, 2, 0, 2, 1]",12,3.85452856,2026-06-04T19:46:49.940
54,1_2_1_1_1,"[1, 2, 1, 1, 1]",12,3.86139423,2026-06-04T19:34:57.647
55,1_1_1_1_2,"[1, 1, 1, 1, 2]",12,3.87492449,2026-06-04T22:36:09.455
56,1_2_2_2_0,"[1, 2, 2, 2, 0]",13,3.87500686,2026-06-04T18:02:43.066
57,1_2_0_1_1,"[1, 2, 0, 1, 1]",11,3.89704527,2026-06-04T19:29:50.400
58,1_2_1_2_0,"[1, 2, 1, 2, 0]",12,3.91009026,2026-06-04T17:52:37.531
59,2_0_2_0_1,"[2, 0, 2, 0, 1]",11,3.91305587,2026-06-04T19:04:46.753
60,2_1_0_2_2,"[2, 1, 0, 2, 2]",13,3.92349748,2026-06-04T22:53:07.440
61,2_0_2_0_2,"[2, 0, 2, 0, 2]",12,3.92699957,2026-06-04T21:24:55.215
62,1_1_2_2_0,"[1, 1, 2, 2, 0]",12,3.92769175,2026-06-04T17:55:22.051
63,2_1_0_1_2,"[2, 1, 0, 1, 2]",12,3.93310229,2026-06-04T21:27:32.667
64,1_1_1_2_0,"[1, 1, 1, 2, 0]",11,3.95186363,2026-06-04T17:51:29.903
65,2_1_0_1_1,"[2, 1, 0, 1, 1]",11,3.97765382,2026-06-04T19:25:38.329
66,1_2_2_0_1,"[1, 2, 2, 0, 1]",12,3.98307404,2026-06-04T19:26:29.262
67,1_2_2_0_2,"[1, 2, 2, 0, 2]",13,3.99325025,2026-06-04T21:24:48.454
68,2_1_0_2_1,"[2, 1, 0, 2, 1]",12,3.99376929,2026-06-04T19:43:23.678
69,2_0_0_2_2,"[2, 0, 0, 2, 2]",12,4.01184804,2026-06-04T22:53:43.779
70,1_1_1_1_1,"[1, 1, 1, 1, 1]",11,4.01722064,2026-06-04T19:31:48.553
71,1_1_2_0_1,"[1, 1, 2, 0, 1]",11,4.01793112,2026-06-04T19:08:59.137
72,1_1_2_0_2,"[1, 1, 2, 0, 2]",12,4.0283573,2026-06-04T21:24:28.032
73,2_1_1_2_2,"[2, 1, 1, 2, 2]",14,4.05275582,2026-06-04T23:14:14.252
74,2_0_0_1_2,"[2, 0, 0, 1, 2]",11,4.05814769,2026-06-04T21:27:03.646
75,2_0_0_1_1,"[2, 0, 0, 1, 1]",10,4.08967327,2026-06-04T19:21:59.751
76,2_0_0_2_1,"[2, 0, 0, 2, 1]",11,4.09775635,2026-06-04T19:42:25.564
77,2_2_0_2_0,"[2, 2, 0, 2, 0]",12,4.12698007,2026-06-04T17:50:10.207
78,1_2_0_2_0,"[1, 2, 0, 2, 0]",11,4.2184195,2026-06-04T17:50:18.124
79,1_0_2_2_2,"[1, 0, 2, 2, 2]",13,4.27148365,2026-06-04T23:09:34.890
80,1_0_2_2_1,"[1, 0, 2, 2, 1]",12,4.28045445,2026-06-04T21:03:58.797
81,1_0_2_2_0,"[1, 0, 2, 2, 0]",11,4.4036772,2026-06-04T17:55:07.274
82,0_2_2_2_2,"[0, 2, 2, 2, 2]",14,4.4179419,2026-06-04T23:25:01.178
83,0_2_2_1_2,"[0, 2, 2, 1, 2]",13,4.42414975,2026-06-04T22:55:49.483
84,0_2_2_2_1,"[0, 2, 2, 2, 1]",13,4.44917449,2026-06-04T21:07:03.083
85,1_0_2_1_2,"[1, 0, 2, 1, 2]",12,4.45868074,2026-06-04T22:48:40.402
86,0_2_2_1_1,"[0, 2, 2, 1, 1]",12,4.4846972,2026-06-04T19:43:58.425
87,2_1_0_2_0,"[2, 1, 0, 2, 0]",11,4.50301871,2026-06-04T17:35:07.536
88,2_2_1_0_1,"[2, 2, 1, 0, 1]",12,4.52485515,2026-06-04T18:00:55.851
89,2_2_1_0_2,"[2, 2, 1, 0, 2]",13,4.52969852,2026-06-04T21:22:32.500
90,2_1_1_0_1,"[2, 1, 1, 0, 1]",11,4.5688951,2026-06-04T17:47:28.110
91,2_1_1_0_2,"[2, 1, 1, 0, 2]",12,4.57027232,2026-06-04T21:14:08.940
92,2_0_1_0_1,"[2, 0, 1, 0, 1]",10,4.57243451,2026-06-04T17:57:26.410
93,2_0_1_0_2,"[2, 0, 1, 0, 2]",11,4.57320003,2026-06-04T21:16:54.642
94,0_2_2_0_1,"[0, 2, 2, 0, 1]",11,4.58401758,2026-06-04T19:20:20.986
95,0_2_2_0_2,"[0, 2, 2, 0, 2]",12,4.58747517,2026-06-04T21:30:31.214
96,2_2_0_0_2,"[2, 2, 0, 0, 2]",12,4.59830878,2026-06-04T21:20:04.017
97,2_1_0_0_2,"[2, 1, 0, 0, 2]",11,4.6072634,2026-06-04T21:10:37.207
98,0_2_2_2_0,"[0, 2, 2, 2, 0]",12,4.61980193,2026-06-04T18:00:52.350
99,0_2_1_2_2,"[0, 2, 1, 2, 2]",13,4.62565998,2026-06-04T23:11:07.761
100,2_1_0_0_1,"[2, 1, 0, 0, 1]",10,4.62747867,2026-06-04T17:45:54.288
101,1_2_1_0_1,"[1, 2, 1, 0, 1]",11,4.62790803,2026-06-04T18:05:19.438
102,2_0_0_0_2,"[2, 0, 0, 0, 2]",10,4.6354172,2026-06-04T21:07:36.707
103,1_1_0_2_2,"[1, 1, 0, 2, 2]",12,4.63651048,2026-06-04T22:53:00.200
104,1_0_2_1_1,"[1, 0, 2, 1, 1]",11,4.63737005,2026-06-04T19:40:39.244
105,1_2_1_0_2,"[1, 2, 1, 0, 2]",12,4.63757533,2026-06-04T21:18:47.492
106,2_0_0_2_0,"[2, 0, 0, 2, 0]",10,4.68067219,2026-06-04T17:43:05.353
107,1_1_0_1_2,"[1, 1, 0, 1, 2]",11,4.69648822,2026-06-04T21:28:21.244
108,0_2_1_1_2,"[0, 2, 1, 1, 2]",12,4.70323059,2026-06-04T22:56:11.515
109,0_2_1_2_0,"[0, 2, 1, 2, 0]",11,4.70622537,2026-06-04T18:00:38.691
110,1_1_0_1_1,"[1, 1, 0, 1, 1]",10,4.7263223,2026-06-04T19:22:22.229
111,1_1_0_2_1,"[1, 1, 0, 2, 1]",11,4.72855092,2026-06-04T19:39:34.072
112,2_0_0_0_1,"[2, 0, 0, 0, 1]",9,4.7326871,2026-06-04T18:09:51.055
113,1_2_0_0_2,"[1, 2, 0, 0, 2]",11,4.84561209,2026-06-04T21:08:58.472
114,0_2_1_1_1,"[0, 2, 1, 1, 1]",11,4.8496194,2026-06-04T19:46:04.897
115,1_2_0_0_1,"[1, 2, 0, 0, 1]",10,4.86388401,2026-06-04T17:50:30.648
116,0_1_2_2_2,"[0, 1, 2, 2, 2]",13,4.86590176,2026-06-04T23:06:38.878
117,0_1_1_2_2,"[0, 1, 1, 2, 2]",12,4.87200948,2026-06-04T22:58:18.539
118,0_1_2_2_1,"[0, 1, 2, 2, 1]",12,4.88935135,2026-06-04T21:02:22.917
119,0_1_1_2_1,"[0, 1, 1, 2, 1]",11,4.89384375,2026-06-04T19:45:50.567
120,0_1_2_1_2,"[0, 1, 2, 1, 2]",12,4.9008146,2026-06-04T22:44:46.315
121,0_1_1_1_2,"[0, 1, 1, 1, 2]",11,4.92799398,2026-06-04T22:24:27.522
122,1_0_1_2_2,"[1, 0, 1, 2, 2]",12,4.95134038,2026-06-04T23:04:41.335
123,1_0_1_1_2,"[1, 0, 1, 1, 2]",11,4.96579088,2026-06-04T21:38:42.990
124,1_1_1_0_2,"[1, 1, 1, 0, 2]",11,4.97976712,2026-06-04T21:14:29.771
125,1_1_1_0_1,"[1, 1, 1, 0, 1]",10,4.98032903,2026-06-04T17:56:30.794
126,1_0_1_2_1,"[1, 0, 1, 2, 1]",11,4.9857812,2026-06-04T19:48:40.350
127,0_0_2_2_2,"[0, 0, 2, 2, 2]",12,4.98597042,2026-06-04T23:07:13.848
128,0_1_2_1_1,"[0, 1, 2, 1, 1]",11,4.98657175,2026-06-04T19:38:30.273
129,0_0_2_2_1,"[0, 0, 2, 2, 1]",11,5.00326485,2026-06-04T20:49:32.747
130,1_1_0_0_1,"[1, 1, 0, 0, 1]",9,5.00605629,2026-06-04T17:59:50.486
131,1_0_0_1_2,"[1, 0, 0, 1, 2]",10,5.01129865,2026-06-04T21:29:04.653
132,1_0_0_2_2,"[1, 0, 0, 2, 2]",11,5.01559498,2026-06-04T22:46:27.241
133,1_1_0_0_2,"[1, 1, 0, 0, 2]",10,5.01746381,2026-06-04T21:10:56.979
134,0_0_1_2_2,"[0, 0, 1, 2, 2]",11,5.04610145,2026-06-04T22:52:27.286
135,1_0_1_1_1,"[1, 0, 1, 1, 1]",10,5.05173562,2026-06-04T19:33:33.218
136,0_1_1_1_1,"[0, 1, 1, 1, 1]",10,5.05256425,2026-06-04T19:29:05.441
137,0_0_2_1_2,"[0, 0, 2, 1, 2]",11,5.05301088,2026-06-04T22:40:15.415
138,1_0_0_2_1,"[1, 0, 0, 2, 1]",10,5.06531057,2026-06-04T19:48:21.394
139,0_0_1_1_2,"[0, 0, 1, 1, 2]",10,5.07085893,2026-06-04T21:33:10.367
140,0_0_1_2_1,"[0, 0, 1, 2, 1]",10,5.07712888,2026-06-04T19:40:32.371
141,1_0_0_1_1,"[1, 0, 0, 1, 1]",9,5.07749225,2026-06-04T19:23:29.409
142,0_1_1_2_0,"[0, 1, 1, 2, 0]",10,5.11812794,2026-06-04T17:47:12.689
143,0_1_2_2_0,"[0, 1, 2, 2, 0]",11,5.12774571,2026-06-04T17:56:21.692
144,0_0_2_2_0,"[0, 0, 2, 2, 0]",10,5.16018369,2026-06-04T17:53:38.215
145,0_0_1_1_1,"[0, 0, 1, 1, 1]",9,5.1674951,2026-06-04T19:30:27.699
146,0_0_2_1_1,"[0, 0, 2, 1, 1]",10,5.17102087,2026-06-04T19:31:13.772
147,0_2_0_1_2,"[0, 2, 0, 1, 2]",11,5.22447881,2026-06-04T21:33:46.111
148,0_2_0_2_2,"[0, 2, 0, 2, 2]",12,5.22952357,2026-06-04T22:56:04.873
149,0_1_2_0_1,"[0, 1, 2, 0, 1]",10,5.24500772,2026-06-04T19:13:40.682
150,0_1_2_0_2,"[0, 1, 2, 0, 2]",11,5.25787557,2026-06-04T21:28:55.565
151,0_2_0_1_1,"[0, 2, 0, 1, 1]",10,5.2832924,2026-06-04T19:33:56.964
152,0_2_0_2_1,"[0, 2, 0, 2, 1]",11,5.28578278,2026-06-04T19:45:58.601
153,0_1_0_2_2,"[0, 1, 0, 2, 2]",11,5.29903451,2026-06-04T22:46:10.672
154,0_0_0_2_2,"[0, 0, 0, 2, 2]",10,5.30009253,2026-06-04T22:48:33.333
155,0_1_0_1_2,"[0, 1, 0, 1, 2]",10,5.31331793,2026-06-04T21:22:27.864
156,1_1_0_2_0,"[1, 1, 0, 2, 0]",10,5.31381536,2026-06-04T17:44:59.521
157,0_0_0_1_2,"[0, 0, 0, 1, 2]",9,5.32100598,2026-06-04T21:24:08.653
158,2_2_2_1_0,"[2, 2, 2, 1, 0]",13,5.34639951,2026-06-04T17:37:16.226
159,0_1_0_1_1,"[0, 1, 0, 1, 1]",9,5.35544039,2026-06-04T19:22:18.860
160,0_0_0_1_1,"[0, 0, 0, 1, 1]",8,5.35966442,2026-06-04T19:22:14.345
161,0_0_1_2_0,"[0, 0, 1, 2, 0]",9,5.36560116,2026-06-04T17:48:06.219
162,0_1_0_2_1,"[0, 1, 0, 2, 1]",10,5.37167475,2026-06-04T19:40:55.742
163,0_0_0_2_1,"[0, 0, 0, 2, 1]",9,5.37532458,2026-06-04T19:49:46.905
164,1_0_0_2_0,"[1, 0, 0, 2, 0]",9,5.4924155,2026-06-04T17:43:02.598
165,1_0_2_0_1,"[1, 0, 2, 0, 1]",10,5.49726404,2026-06-04T18:58:19.065
166,1_0_2_0_2,"[1, 0, 2, 0, 2]",11,5.51388509,2026-06-04T21:20:10.570
167,0_0_2_0_1,"[0, 0, 2, 0, 1]",9,5.58694057,2026-06-04T18:04:55.600
168,0_0_2_0_2,"[0, 0, 2, 0, 2]",10,5.60318647,2026-06-04T21:22:55.270
169,1_0_1_0_1,"[1, 0, 1, 0, 1]",9,5.70871632,2026-06-04T17:59:38.636
170,1_0_1_0_2,"[1, 0, 1, 0, 2]",10,5.71801424,2026-06-04T21:13:23.117
171,0_2_0_2_0,"[0, 2, 0, 2, 0]",10,5.71927725,2026-06-04T17:39:46.458
172,2_1_2_1_0,"[2, 1, 2, 1, 0]",12,5.80219519,2026-06-04T17:23:18.471
173,1_2_2_1_0,"[1, 2, 2, 1, 0]",12,5.82595544,2026-06-04T17:27:40.648
174,0_1_0_2_0,"[0, 1, 0, 2, 0]",9,5.89241597,2026-06-04T17:45:08.689
175,0_2_1_0_2,"[0, 2, 1, 0, 2]",11,5.9134453,2026-06-04T21:31:02.218
176,0_2_0_0_1,"[0, 2, 0, 0, 1]",9,5.91423502,2026-06-04T17:50:07.121
177,0_2_0_0_2,"[0, 2, 0, 0, 2]",10,5.91631425,2026-06-04T21:13:41.497
178,0_2_1_0_1,"[0, 2, 1, 0, 1]",10,5.91721363,2026-06-04T18:04:16.178
179,0_0_0_2_0,"[0, 0, 0, 2, 0]",8,5.9252618,2026-06-04T17:28:26.336
180,0_1_1_0_1,"[0, 1, 1, 0, 1]",9,5.93521543,2026-06-04T17:56:58.668
181,0_1_1_0_2,"[0, 1, 1, 0, 2]",10,5.93724941,2026-06-04T21:13:16.812
182,0_0_1_0_1,"[0, 0, 1, 0, 1]",8,5.9430912,2026-06-04T17:56:44.924
183,0_0_1_0_2,"[0, 0, 1, 0, 2]",9,5.94703506,2026-06-04T21:11:20.240
184,1_1_2_1_0,"[1, 1, 2, 1, 0]",11,5.98858411,2026-06-04T16:15:02.468
185,0_1_0_0_2,"[0, 1, 0, 0, 2]",9,6.02483542,2026-06-04T21:10:00.389
186,2_0_2_1_0,"[2, 0, 2, 1, 0]",11,6.08840693,2026-06-04T16:11:26.676
187,0_1_0_0_1,"[0, 1, 0, 0, 1]",8,6.09696139,2026-06-04T17:58:56.065
188,0_2_2_1_0,"[0, 2, 2, 1, 0]",11,6.28155052,2026-06-04T17:31:46.717
189,1_0_0_0_2,"[1, 0, 0, 0, 2]",9,6.34275958,2026-06-04T21:07:56.268
190,0_0_0_0_2,"[0, 0, 0, 0, 2]",8,6.34472751,2026-06-04T21:09:53.954
191,1_0_0_0_1,"[1, 0, 0, 0, 1]",8,6.85020212,2026-06-04T17:52:15.646
192,0_0_0_0_1,"[0, 0, 0, 0, 1]",7,6.881401,2026-06-04T17:21:49.689
193,0_1_2_1_0,"[0, 1, 2, 1, 0]",10,7.3394827,2026-06-04T16:21:20.141
194,1_2_1_1_0,"[1, 2, 1, 1, 0]",11,7.66243758,2026-06-04T16:12:02.885
195,2_2_1_1_0,"[2, 2, 1, 1, 0]",12,7.76671975,2026-06-04T16:12:38.447
196,2_1_1_1_0,"[2, 1, 1, 1, 0]",11,7.81098187,2026-06-04T16:12:55.042
197,2_0_1_1_0,"[2, 0, 1, 1, 0]",10,7.82045517,2026-06-04T16:11:37.639
198,1_0_2_1_0,"[1, 0, 2, 1, 0]",10,7.86651477,2026-06-04T16:08:21.282
199,0_0_2_1_0,"[0, 0, 2, 1, 0]",9,7.93327554,2026-06-04T16:13:57.480
200,2_2_0_1_0,"[2, 2, 0, 1, 0]",11,7.96018341,2026-06-04T16:09:42.140
201,2_1_0_1_0,"[2, 1, 0, 1, 0]",10,8.15504876,2026-06-04T16:07:45.785
202,1_1_1_1_0,"[1, 1, 1, 1, 0]",10,8.21219509,2026-06-04T16:11:56.685
203,1_2_0_1_0,"[1, 2, 0, 1, 0]",10,8.2964299,2026-06-04T16:09:17.988
204,1_1_0_1_0,"[1, 1, 0, 1, 0]",9,8.34559683,2026-06-04T16:08:14.251
205,2_0_0_1_0,"[2, 0, 0, 1, 0]",9,8.60099167,2026-06-04T16:11:02.526
206,1_0_1_1_0,"[1, 0, 1, 1, 0]",9,8.83908381,2026-06-04T16:12:54.644
207,0_2_0_1_0,"[0, 2, 0, 1, 0]",9,9.13461766,2026-06-04T16:16:11.621
208,0_1_1_1_0,"[0, 1, 1, 1, 0]",9,9.17175127,2026-06-04T16:13:00.635
209,0_0_1_1_0,"[0, 0, 1, 1, 0]",8,9.17446125,2026-06-04T16:11:08.011
210,0_1_0_1_0,"[0, 1, 0, 1, 0]",8,9.90415726,2026-06-04T16:05:50.317
211,2_1_2_0_0,"[2, 1, 2, 0, 0]",11,9.96352704,2026-06-04T16:09:24.675
212,2_2_1_0_0,"[2, 2, 1, 0, 0]",11,9.98065505,2026-06-04T16:16:06.637
213,2_1_1_0_0,"[2, 1, 1, 0, 0]",10,9.98281606,2026-06-04T16:16:53.874
214,2_0_2_0_0,"[2, 0, 2, 0, 0]",10,9.9852248,2026-06-04T16:09:55.464
215,2_0_1_0_0,"[2, 0, 1, 0, 0]",9,9.99154035,2026-06-04T16:15:31.255
216,2_2_0_0_0,"[2, 2, 0, 0, 0]",10,10.0612704,2026-06-04T16:14:22.991
217,1_2_2_0_0,"[1, 2, 2, 0, 0]",11,10.1864392,2026-06-04T16:07:41.435
218,1_2_1_0_0,"[1, 2, 1, 0, 0]",10,10.1950253,2026-06-04T16:18:41.748
219,1_2_0_0_0,"[1, 2, 0, 0, 0]",9,10.20928,2026-06-04T16:17:04.115
220,1_1_2_0_0,"[1, 1, 2, 0, 0]",10,10.2638712,2026-06-04T16:21:13.349
221,2_1_0_0_0,"[2, 1, 0, 0, 0]",9,10.3064661,2026-06-04T16:13:45.640
222,1_1_1_0_0,"[1, 1, 1, 0, 0]",9,10.3125039,2026-06-04T16:13:22.948
223,1_0_0_1_0,"[1, 0, 0, 1, 0]",8,10.5348104,2026-06-04T16:09:53.939
224,0_0_0_1_0,"[0, 0, 0, 1, 0]",7,10.5353277,2026-06-04T15:39:22.357
225,2_0_0_0_0,"[2, 0, 0, 0, 0]",8,10.6635065,2026-06-04T16:21:25.128
226,1_0_2_0_0,"[1, 0, 2, 0, 0]",9,10.8371528,2026-06-04T16:12:47.193
227,0_2_2_0_0,"[0, 2, 2, 0, 0]",10,11.0255096,2026-06-04T16:36:04.732
228,0_2_1_0_0,"[0, 2, 1, 0, 0]",9,11.0600196,2026-06-04T16:21:52.212
229,1_1_0_0_0,"[1, 1, 0, 0, 0]",8,11.1899441,2026-06-04T16:10:46.479
230,1_0_1_0_0,"[1, 0, 1, 0, 0]",8,11.3640416,2026-06-04T16:17:23.709
231,0_1_2_0_0,"[0, 1, 2, 0, 0]",9,11.365849,2026-06-04T16:07:45.438
232,0_1_1_0_0,"[0, 1, 1, 0, 0]",8,11.3736769,2026-06-04T16:13:33.464
233,1_0_0_0_0,"[1, 0, 0, 0, 0]",7,11.3788887,2026-06-04T15:42:55.728
234,0_0_2_0_0,"[0, 0, 2, 0, 0]",8,11.4176228,2026-06-04T16:07:53.272
235,0_0_1_0_0,"[0, 0, 1, 0, 0]",7,11.4741613,2026-06-04T15:42:54.917
236,0_2_0_0_0,"[0, 2, 0, 0, 0]",8,11.5604255,2026-06-04T16:17:45.437
237,0_1_0_0_0,"[0, 1, 0, 0, 0]",7,11.7097414,2026-06-04T15:48:07.419
238,0_0_0_0_0,"[0, 0, 0, 0, 0]",6,11.9892406,2026-06-04T15:49:11.397
239,1_0_1_2_0,"[1, 0, 1, 2, 0]",10,26.5509955,2026-06-04T17:52:52.108
240,0_2_1_2_1,"[0, 2, 1, 2, 1]",12,932.626882,2026-06-04T20:38:08.403
241,0_2_1_1_0,"[0, 2, 1, 1, 0]",10,3687.75432,2026-06-04T16:17:19.038
242,2_2_2_0_0,"[2, 2, 2, 0, 0]",12,5440.76819,2026-06-04T16:18:39.674
243,2_2_0_0_1,"[2, 2, 0, 0, 1]",11,5602.11602,2026-06-04T18:12:25.015
